,data_reconstructiondate
14444,1947
14460,1976
14463,1964
14467,1974
14473,1975
14481,1984
14489,1974
14490,1959
14494,1959
14497,1987
14504,1986
14507,1948
14516,1986
14517,1950
14520,1965
14525,1960
14528,1953
14538,1972
14546,1965
14580,1967
14589,1973
14592,1982
14631,1968
14643,1972
14685,1993
14686,1950
14695,1952
14698,1971
14700,1961
14712,1988
14714,1973
14715,1972
14725,1964
14729,1987
14732,1962
14733,1956
14750,2000
14757,1954
14759,1959
14764,1982
14775,1965
14778,1989
14790,1962
14791,1940
14793,1963
14797,1959
14799,1965
14800,1974
14801,1949
14811,1975
14812,1968
14815,1965
14816,1946
14820,1951
14822,1976
14823,1953
14824,1978
14826,1970 выборочный
14833,1962
14834,1976
14835,1967
14837,1969
14840,1960
14845,1978
14847,1953
14862,1978
14870,1968
14892,1956
14903,1990
14908,1996
14912,"1950, 1988"
14932,1971
14934,1987
14938,1962
14941,1975
14943,1990
14949,2004
14953,1993
14956,1977
14959,2010
14970,1984
14987,1988
14996,1983
15008,1960
15017,2005
15030,1935
15032,1982
15036,1960
15048,1969
15060,1938
15064,1964
15066,1950
15068,1973
15069,1959
15073,1967
15080,1965
15083,1970
15096,1973
15103,1973
15108,1968
15109,1992
15121,1978
15124,1980
15126,1963
15129,1968
15132,1965
15137,1963
15140,1963
15142,1970
15150,1956
15153,1964
15155,1972
15157,1973
15168,1963
15175,1970
15178,1988
15180,1961
15189,1974
15191,1961
15200,1974
15209,1998
15215,1972
15238,1962
15266,2001
15267,1961
15282,1988
15290,1996
15303,1960
15334,1982
15346,1981
15360,1964
15369,1956
15377,1977
15381,-
15386,1976
15387,1960
15412,1960
15413,1996
15417,2003
15420,1970
15429,1976
15442,1951
15445,1955
15451,1952
15458,1960
15459,1964
15461,1960
15465,1958
15466,1962
15473,1958
15474,1958
15482,1989
15485,1958
15486,1966
15489,1979
15490,1966
15492,1967
15494,1956
15501,2011
15505,1986
15517,1950
15524,1962
15526,1960
15537,1966
15578,1987
15657,1989
15659,1987
15680,2004
15688,1946
15695,1958
15705,1989
15723,1947
15728,1961
15729,1954
15732,1980
15734,1973
15737,1982
15740,1953
15742,1979
15759,1988
15760,1952
15764,1971
15765,1969
15768,1966
15772,1968
15776,1964
15781,1983
15785,1971
15786,1977
15787,1960
15788,1995
15799,1968
15801,1969
15808,1988
15821,1976
15824,1950
15825,1978
15826,1959
15828,1955
15833,1990
15835,1965
15842,1971
15848,1966
15849,1982
15850,1964
15854,1969
15855,1972
15856,1962
15859,1960
15862,1977
15870,1964
15881,1964
15887,2000
15898,1966
15904,1989
15918,1974
15929,1997
15941,1985
15947,1979
15956,1975
15960,2003
15974,2008
15975,1984
15999,2002
16003,1968
16004,1965
16023,1972
16031,1961
16043,1963
16057,1969
16058,1984
16059,1975
16067,1980
16068,1965
16069,1967
16070,"1965- литер Б,В"
16078,1971
16091,1986
16092,1962
16093,1968
16102,1974
16106,1980
16107,1970
16109,1972
16114,1976
16116,1991
16126,"ООО ""ЖКС №2 Фрунзенского района"""
16138,1963
16145,1964
16146,1977
16147,1956
16148,1950
16152,1986
16153,1968
16154,1983
16156,1980
16160,1961
16163,1970
16175,1972
16176,1984
16184,1961
16185,1952
16191,1951
16197,1968
16204,1996
16207,1969
16222,1984
16236,1976
16242,1964
16249,1988
16261,1968
16284,1972
16287,1989
16289,1966
16290,1969
16295,1956
16299,1983
16306,1995
16317,1959
16323,1983
16325,1971
16331,2004
16366,1993
16378,1964
16381,1958
16383,2006
16388,1986
16394,1966
16401,1961
16408,1975
16415,1953
16418,1976
16419,1974
16426,1963
16428,1970-1971
16431,1976
16433,1966
16434,1970
16456,1958
16457,1966
16458,1974
16461,1970
16462,1959
16463,1963
16465,1959
16469,1971
16474,1963
16477,1969
16478,1967
16479,1987
16482,1959
16486,1978
16488,1977
16505,1976
16506,1976
16507,1960
16523,1982
16528,1969
16530,1970
16535,1974
16537,1978
16544,1972
16551,2012
16558,1989
16573,1996
16583,1983
16587,1997
16589,1988
16590,2002
16613,1989
16621,1992
16624,1991
16659,1974
16663,1985
16666,1974
16671,1962
16680,2006
16688,2009
16691,2005
16692,1973
16703,1991
16707,1999
16724,1957
16736,1980
16752,1972
16761,1965
16783,1962
16786,1979
16789,1976
16794,1958
16796,1977
16802,1964
16826,1951
16832,1964
16833,1972
16837,1970
16839,1962
16845,1964
16846,1953
16855,1974
16856,1965
16857,1975
16859,1968
16863,1963
16864,1950
16865,1959
16877,1969
16879,1970
16880,1970
16881,1973
16883,2012
16905,1967
16920,1963
16921,1959
16966,1966
16983,1998
17004,1994
17010,1993
17024,1953
17038,1974
17047,1958
17052,1966
17053,1991
17054,1962
17056,1957
17083,1952
17087,1962
17091,1985
17093,1982
17103,1971
17107,1959
17109,1956
17115,1958
17116,1964
17119,1982
17121,2002
17128,1965
17129,1974
17136,1983
17152,1992
17159,1980
17160,1985
17162,1960
17166,1976
17169,1969
17171,1961
17172,1969
17175,2007
17179,1964
17190,1967
17191,1953
17200,1969
17201,1962
17202,1969
17203,1971
17211,1975
17212,1964
17215,1972
17216,1968
17218,1966
17219,1963
17222,1969
17230,1954
17236,1968
17239,1983
17250,1977
17251,1950
17278,2006
17297,2015
17306,1961
17315,1976
17316,1981
17318,1963
17320,1975
17321,1989
17323,1947
17332,2001
17341,1990
17351,1954
17376,1950
17400,1990
17409,1965
17414,1996
17426,2007
17437,1965
17445,1985
17480,1988
17484,1978
17493,1963
17514,1972
17517,1975
17518,1974
17524,1962
17534,1946-1962
17547,1979
17550,1965
17562,1974
17574,1984
17585,1966
17586,1981
17594,1949
17596,1965
17597,1962
17598,1972
17599,1960
17601,1976
17604,2010
17608,1964
17609,1978
17615,1975
17618,1968
17620,1962
17645,1969
17664,2002
17680,1987
17690,1986
17696,1954
17699,2006
17713,1997
17726,1972
17758,1962
17759,2002
17766,1966
17772,1964
17774,1962
17785,1957
17792,1952
17795,1964
17808,1965
17812,1950
17818,1960
17821,1970
17823,1965
17828,1968
17834,1963
17839,1938
17844,1957
17859,1997
17866,1974
17868,1978
17884,1987
17885,1978
17886,1958
17892,1959
17907,1973
17910,1979
17916,1951
17920,1991
17925,1977
17932,1968
17935,1958
17937,1964
17939,1970
17941,1965
17947,1970
17961,1963
17966,1954
17984,2000
17988,1990
17998,1957
18000,1972
18014,1983
18027,1976
18031,1999
18052,1961
18063,1979
18065,1990
18073,1971
18079,1927
18088,1960
18089,1960
18106,1998
18114,1955
18115,1954
18123,1989
18138,1962
18144,1962
18145,1981
18151,1965
18160,1975
18161,1971
18162,1985
18165,1969
18188,1961
18198,1982
18204,1959
18210,1971
18211,1987
18224,1965
18225,1965
18227,1961
18228,1971
18230,1983
18233,1987
18234,1962
18240,1973
18245,1957
18246,1963
18247,1962
18251,1959
18253,1979
18255,1961
18258,1951
18260,1970
18263,1970
18266,1972
18267,1968
18268,1961
18269,1971
18272,1989
18276,1977
18277,1978
18278,1976
18293,1968
18304,1957
18307,1960
18310,1977
18311,1975
18332,1962
18333,1999
18345,1997
18346,2005-кровля;2009-фасады;2012-2013 -инж.сети системв ХВС
18369,1988
18382,1952
18402,1982
18418,1986
18427,1988
18432,1985
18437,1976
18458,1972
18471,1965
18472,1894
18474,1999
18480,1961
18486,1976
18501,1956
18505,1975
18507,1966
18508,1979
18510,1956
18515,1978
18517,2000
18519,1964
18522,1980
18536,1963
18539,1987-литер Б
18542,1962
18556,1966
18559,1952
18567,1963
18568,1962
18570,1980
18573,1979
18575,1964
18577,1951
18578,1976
18580,1962
18588,1969
18589,1973
18592,1969
18594,1964
18599,1988
18601,1975
18602,1963
18604,1955
18606,1998
18608,1965
18611,1976
18614,1974
18615,1959
18625,1959
18628,1959
18631,1958
18633,1981
18637,2010
18642,1953
18644,1946-1970
18649,1936
18655,1968
18658,1964
18670,1988
18673,1987
18681,1985
18684,1987
18687,1970
18709,1992
18716,1973
18721,1976
18722,1978
18733,1995
18735,"ООО ""Жилкомсервис №2 Адмиралтейского района"""
18737,1970
18741,1950
18758,1970
18760,2016
18761,1951
18788,2007
18793,1973
18795,1970
18798,1951
18800,1992
18803,1996
18810,1960
18812,1956
18815,1981
18832,1960
18838,1966
18840,1981
18844,1972
18847,1966
18850,1970
18852,1985
18854,1966
18861,1949
18862,1964
18866,1985
18880,1977
18882,1965
18883,1966
18887,1966
18889,1965
18893,1975
18894,1959
18899,1969
18901,1973
18904,1960
18906,1970
18915,1982
18921,1977
18926,1952
18928,1953
18929,1964
18932,1973
18938,1986
18941,1960
18951,1953
18953,1967
18955,1988
18967,1963
18970,1978
18975,-
18977,1971
18978,1961
18979,1978
18980,1970
18983,2010
19011,1978
19014,1988
19016,1970
19035,1939
19050,1996
19054,1986
19074,1954
19079,2006
19084,1972
19092,1998
19096,1989
19098,1978
19103,1976
19135,1988
19136,1975
19175,1975
19181,1985
19187,1965
19188,1965
19189,1966
19197,1980
19199,1981
19208,1993
19209,1974
19216,1949
19219,1966
19220,1973
19223,1956
19225,1985
19238,1962
19242,1970
19245,1974
19246,1963
19251,1954
19252,1964
19253,1971
19254,1963
19261,1956
19263,1986
19267,1972
19268,1963
19270,1984
19278,1962
19284,1961
19290,1989
19292,1963
19296,1971
19301,1962
19306,1964
19309,1951
19345,2003
19361,1969
19367,2002
19372,1974
19373,2002
19374,1950
19377,1968
19380,1965
19396,1975
19399,1959
19428,1988
19431,1984
19432,1970
19433,1988
19446,1996
19457,1999
19462,2003
19468,1979
19482,1961
19488,1961
19490,1974
19491,1951
19497,1977
19502,1977
19510,1972
19511,1975
19516,1947
19522,1971
19524,1966
19526,1981
19539,1963
19544,1985
19553,1960
19560,1979
19561,1979
19568,1977
19578,1957
19581,1970
19583,1959
19584,1965
19587,1966-1967
19593,1967
19600,1978
19606,2004
19608,1981
19609,1974
19611,1969
19614,1955
19617,1979
19624,1970
19631,1967
19635,1989
19636,1964
19637,1987
19640,1951
19646,1964
19655,1970
19657,1991
19663,1949
19666,1978
19673,1984
19675,1990-выборочный
19678,1993
19679,1973
19695,1977
19704,1985
19727,2006
19736,1993
19739,2000
19749,1971
19767,1979
19792,1987
19797,1962
19823,1964
19826,1959
19828,1974
19830,1975
19835,1970
19845,1949
19847,1973
19854,2001
19857,1976
19889,1957
19894,1984
19896,1977
19897,1966
19909,1950
19921,1965
19932,1980
19934,1968
19941,1978
19942,1961
19946,1959
19947,1967
19948,1950
19949,1982
19950,1981
19956,1960
19957,1978
19964,1963
19967,1959
19969,1975
19970,1972
19971,1977
19972,1972
19973,1985
19977,1958
19978,1977
19982,2008
19984,1950
19985,1958
19987,1985
20004,1983
20009,1960
20016,1987
20023,1994
20039,1995
20046,1974
20065,1959
20077,1967
20116,1997
20119,2009
20125,1954
20129,1959
20135,1986
20136,1965
20141,1955
20146,1971
20161,1963
20163,1987
20166,1963
20171,2006
20176,1958
20179,1967
20189,1957
20194,2006
20196,1983
20198,1983
20203,1965
20209,1957
20211,1967
20214,1962
20226,1972
20230,1977
20244,1983
20246,1964
20247,1970
20248,1957
20257,1966
20261,1964
20263,1963
20269,1963
20270,1983
20272,1972
20274,1957
20280,1955
20281,1970
20290,1986
20291,1966
20293,1971
20312,1961
20313,1965
20314,1962
20322,1968
20323,1966
20330,1976
20339,1975
20347,2005
20350,1983
20361,1977
20374,1999
20389,1988
20392,1972
20394,1958
20400,1956
20413,1990
20418,1994
20426,1947
20446,1999
20456,2012
20464,1966
20468,1963
20470,1976
20482,1972
20495,1996
20500,1995
20505,1994
20524,1985
20529,1968
20531,1971
20536,1974
20542,1977
20544,1971
20556,1956
20562,1970
20564,1948
20565,1972
20576,1967
20582,1963
20584,1983
20585,1960
20586,1983
20592,1950
20593,1992
20596,1965
20597,1968
20600,1963
20601,1984
20606,1980
20611,1948
20616,1976
20617,1953
20619,1969
20621,1952
20624,1973
20626,1948
20634,1972
20636,1965
20638,1967
20639,1984
20643,1953
20650,1948
20657,1979
20658,1958
20661,1959
20664,1981
20665,1969
20667,1969
20685,1972
20686,1971
20691,1962
20696,1994
20700,1965
20710,1961
20728,2003
20734,1999
20737,1989
20742,1963
20759,1986
20765,1975
20767,1962
20768,1964
20775,1967
20780,1979
20795,1993
20845,1954
20855,1955
20869,1975
20870,1981
20881,1971
20886,1958
20891,1971
20895,1981
20897,1965
20899,1968
20913,1990
20915,1974
20919,1967
20921,1988
20927,1972
20929,2006
20938,1966
20944,1985
20949,1957
20950,1964
20960,1982
20961,1955
20962,1983
20975,1962
20976,1954 выборочный с надстройкой 7-го этажа
20979,1965
20982,1961
20983,1962
20991,1968
20995,1968
20997,1966
20999,1983
21001,1960
21006,1976
21008,1954
21012,1970
21014,1977
21015,1960
21018,1979
21020,1959
21030,1986-выборочный
21033,1960
21034,1955
21035,1965
21045,1989
21049,1938
21118,2002
21132,1947
21137,1958
21170,1992
21181,1957
21185,1964
21186,1985
21207,1982
21224,1966
21228,1965
21243,1966
21267,1968
21268,1963
21271,1986
21273,1966
21280,1979
21281,1979
21283,1949
21284,1994
21295,1968
21303,1978
21310,1978
21311,1988
21317,1982
21319,1957
21321,1967
21322,1977
21324,1968
21332,1959
21333,1959
21334,1967
21339,1966
21340,1980
21345,1979
21347,1961
21348,1971
21355,1954
21357,1982
21359,1969
21360,1957
21361,1964
21365,1953
21370,1965
21373,1978
21374,1969
21375,1979
21376,1981
21385,1954
21402,1965
21441,1968
21452,1989
21457,2001
21458,1995
21483,1984
21495,2007
21500,1994
21503,1950
21505,1977
21511,1990
21513,1994
21517,1966
21522,1998
21540,1998
21546,1983
21547,1969
21549,1955
21551,-
21556,1960
21557,1969
21560,1963
21565,1965
21567,1967
21579,2002
21582,1981
21584,1977
21588,1970
21589,1947
21593,1977
21594,1968
21597,1971
21624,1977
21629,1946
21632,1971
21633,1959
21635,1982
21636,1979
21637,1961
21640,1953
21641,1956
21644,1954
21648,1986
21650,1969
21661,1970
21665,1979
21669,1973
21670,1956
21676,1960
21680,1963
21686,1988
21690,1946
21701,1966
21707,1980
21712,1969
21717,1963
21720,1977
21745,1969
21747,2005
21756,1959
21759,1997
21760,1990
21763,1964
21776,2002
21782,2000
21788,1976
21798,1972
21823,1984
21829,1991
21836,1965
21843,1984
21849,1974
21861,1964
21867,1972
21895,1986
21902,1985
21920,1950
21934,1984
21940,1970
21942,1972
21943,1995
21945,1962
21951,1961
21962,2006
21968,1958
21972,1967
21976,1966
21978,1965
21980,1976
21983,1963
21995,1968
22001,1973
22003,1976
22005,1976
22012,1966
22013,1972
22021,1974
22022,1982
22023,1973
22025,1961
22029,1976
22031,1981
22032,1957
22033,1951
22039,1964
22040,1950
22043,1993
22044,1953
22053,1960
22057,1988
22058,1958
22059,1962
22062,1965
22063,1966
22065,1955
22066,1964
22067,1962
22068,1972
22069,1954
22071,1964
22072,1972
22073,1983
22081,1981
22084,2010
22089,2005
22095,1975
22100,1965
22122,1992
22125,1946
22145,1954
22154,1981
22164,1947
22199,1974
22205,2004
22217,1969
22224,1978
